지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppm),평균 아산화질소(N2O) 배경대기농도(ppm),평균 염화불화탄소11(CFC11) 배경대기농도(ppm),평균 염화불화탄소12(CFC12) 배경대기농도(ppm),평균 염화불화탄소113(CFC113) 배경대기농도(ppm),평균 육불화황(SF6) 배경대기농도(ppm)
132,안면도(감),2017-01,413.5,1984,330.5,230.4,515.2,71.7,9.1
132,안면도(감),2017-02,414.5,1972,329.7,230,514.8,71.8,9.4
132,안면도(감),2017-03,415.8,1975,330.4,230.7,514.8,72.1,9.6
132,안면도(감),2017-04,416.3,1966,330.7,231.8,511.6,70.4,9.3
132,안면도(감),2017-05,415.2,1962,330.6,232.9,510.5,70.8,9.7
132,안면도(감),2017-06,412.1,1955,331,232.9,510.5,71.8,9.8
132,안면도(감),2017-07,408,1951,332.5,230.4,510,71.6,9.8
132,안면도(감),2017-08,405.1,1958,333,230.9,509.6,71.2,9.7
132,안면도(감),2017-09,406.1,1979,332,232.2,510.5,71.3,9.7
132,안면도(감),2017-10,410.3,1977,332.1,232,508.9,70.9,9.7
132,안면도(감),2017-11,414.1,1977,331.8,228.6,503.8,70.2,9.7
132,안면도(감),2017-12,415.7,1987,332,227.8,502.4,70,9.8
132,안면도(감),2018-06,414.13,1964.3,333.4,230.6,504.8,70.5,9.8
132,안면도(감),2018-07,410.2,1947.58,333,228.2,503.9,70.2,9.7
132,안면도(감),2018-08,406.96,1951,333,228,503.6,70.2,9.7
132,안면도(감),2018-09,408.85,1980.93,332.5,227.9,500,69.7,9.8
132,안면도(감),2018-10,414.18,1980.51,332.7,228.3,499.9,69.7,9.8
132,안면도(감),2018-11,417.66,1988.21,333.3,228.1,500.5,69.9,9.8
132,안면도(감),2018-12,418.41,1989.27,332.9,224.6,497.8,69.4,9.9
132,안면도(감),2019-01,419,1998,332.5,231.3,,71,10.1
132,안면도(감),2019-02,420,2002,333.2,231.8,,70.9,10.1
132,안면도(감),2019-03,421.1,1989,333.3,231.8,,70.9,10.1
132,안면도(감),2019-04,422,1970,333.5,232.2,,70.7,10.2
132,안면도(감),2019-05,420.5,1984,334.3,229.4,499.1,69.5,10.4
132,안면도(감),2019-06,416.8,1993,334.8,229.5,497.6,69.2,10.5
132,안면도(감),2019-07,413.6,1958,334.5,226,496.3,68.8,10.3
132,안면도(감),2019-08,411.8,1979,334.2,225.7,496.1,68.8,10.3
132,안면도(감),2019-09,412.8,2011,334.4,226.8,498.6,69.4,10.3
132,안면도(감),2019-10,416.2,1998,334.3,227,498.3,69.3,10.4
132,안면도(감),2019-11,419.3,1998,333.8,227.2,498.4,68.3,10.3
132,안면도(감),2019-12,421.2,2013,333.9,227,498.7,68.2,10.4
132,안면도(감),2020-01,424.3,2020,334,226.9,499.2,,10.4
132,안면도(감),2020-02,423.6,2007,334.5,226.5,498.8,,10.4
132,안면도(감),2020-03,423.5,1993,334.6,224.6,498.6,,10.4
132,안면도(감),2020-04,424.2,1979,334.7,224.2,498.1,,10.5
132,안면도(감),2020-05,423.4,1984,335.4,224.2,497.1,,10.6
132,안면도(감),2020-06,418.5,2016,336,223.8,496.8,69.1,10.7
132,안면도(감),2020-07,414.4,1979,335.6,222.8,496,69.1,10.5
132,안면도(감),2020-08,413.6,1936,334.8,222,495.6,68.9,10.5
132,안면도(감),2020-09,414.8,2005,335.2,223.1,495.7,69,10.6
132,안면도(감),2020-10,418.7,2028,335.4,223.5,495.3,68.8,10.5
132,안면도(감),2020-11,421.9,2013,334.9,223.1,495.4,68.6,
132,안면도(감),2020-12,423.6,2019,334.5,222.7,495.3,68.9,
